Object ID,Asset ID,Map Label,Asset Name,Asset Type,Asset Subtype,Quantity,Functional Area ID,Property ID,Facility ID,Floor ID,Geom
1,148839,Trash Can,Turf Trash Can,Trash Can,,2,11951,7,11820,,"(37.7444541877, -122.44032658)"
8,149769,Trash Can,Turf Trash Cans,Trash Can,,3,19160,63,11808,,"(37.7592866465, -122.427280143)"
10,149765,Trash Can,Concrete Pathway Trash Cans,Trash Can,,7,12635,63,12633,,"(37.7582994788, -122.425990875)"
18,149766,Trash Can,Picnic Area 4 Trash Cans,Trash Can,,1,72895,63,418,,"(37.7590335586, -122.427014077)"
25,149767,Trash Can,Children's Play Area Trash Cans,Trash Can,,2,409,63,388,,"(37.7589805531, -122.426787856)"
27,149767,Trash Can,Children's Play Area Trash Cans,Trash Can,,2,409,63,388,,"(37.7588445809, -122.426677242)"
31,149768,Trash Can,Perennial Bed Trash Cans,Trash Can,,3,72990,63,11808,,"(37.7599982028, -122.428104489)"
34,150526,Trash Can,Picnic Area 2 Trash Cans,Trash Can,,4,465,49,421,,"(37.7510827782, -122.404450836)"
35,150526,Trash Can,Picnic Area 2 Trash Cans,Trash Can,,4,465,49,421,,"(37.7510931201, -122.404453375)"
36,150526,Trash Can,Picnic Area 2 Trash Cans,Trash Can,,4,465,49,421,,"(37.7510648299, -122.404444121)"
38,150527,Trash Can,Turf Trash Cans,Trash Can,,5,11888,49,11771,,"(37.7509751355, -122.404955874)"
42,150527,Trash Can,Turf Trash Cans,Trash Can,,5,11888,49,11771,,"(37.7512343607, -122.405756781)"
43,150527,Trash Can,Turf Trash Cans,Trash Can,,5,11888,49,11771,,"(37.7511356527, -122.405374676)"
50,150529,Trash Can,Picnic Area 1 Trash Cans,Trash Can,,4,464,49,421,,"(37.7504263776, -122.404441193)"
51,150529,Trash Can,Picnic Area 1 Trash Cans,Trash Can,,4,464,49,421,,"(37.7504311234, -122.40442441)"
